scenario,arm,arm_label,lambda,cost_std,seed,horizon,cycle,price,observed_demand,estimated_elasticity,true_elasticity,residual_bias,realized_profit,oracle_price,oracle_profit,cumulative_regret
reference,greedy,Naive (greedy),0.6,0.3,2,200,22,18.140021661385838,1.5031506435582553,8.400568495410382e-17,-1.5,1.5,25.96874784235506,1.7276211106081767,46.92206858250386,158.96369152634873
reference,greedy,Naive (greedy),0.6,0.3,2,200,23,11.860525081229083,3.377054963733597,8.400568495410382e-17,-1.5,1.5,38.14632866481095,1.1295738172599135,67.97517639511409,188.79253925665188
reference,greedy,Naive (greedy),0.6,0.3,2,200,24,25.574003906263403,0.6726779048543367,4.8980082501912735e-17,-1.5,1.5,16.38387368228751,2.435619419644136,28.956671310060806,201.36533688442518
reference,greedy,Naive (greedy),0.6,0.3,2,200,25,24.823129253823264,0.7476045467456995,4.8980082501912735e-17,-1.5,1.5,17.674175518680435,2.36410754798317,30.81929292707008,214.5104542928148
reference,greedy,Naive (greedy),0.6,0.3,2,200,26,17.56367573159375,1.53087223244791,4.8980082501912735e-17,-1.5,1.5,25.607374740205817,1.6727310220565492,44.29191092130232,233.1949904739113
reference,greedy,Naive (greedy),0.6,0.3,2,200,27,12.272444414021946,3.033938187796272,4.8980082501912735e-17,-1.5,1.5,35.460797871722114,1.1688042299068528,61.08182833921818,258.8160209414074
reference,greedy,Naive (greedy),0.6,0.3,2,200,28,29.425612397775872,0.49402681840049106,7.395149812368311e-18,-1.5,1.5,13.844801592723103,2.8024392759786565,23.78880237228097,268.76002172096526
reference,greedy,Naive (greedy),0.6,0.3,2,200,29,17.602250299468338,1.5012561232120452,7.395149812368311e-18,-1.5,1.5,25.167129566083712,1.6764047904255575,43.06877531384282,286.6616674687244
reference,greedy,Naive (greedy),0.6,0.3,2,200,30,18.228729895629986,1.3601271528468133,7.395149812368311e-18,-1.5,1.5,23.612752850435047,1.736069513869524,40.34713526956239,303.39604988785175
reference,greedy,Naive (greedy),0.6,0.3,2,200,31,49.31439173628325,0.18281907748695425,7.395149812368311e-18,-1.5,1.5,8.586296765769127,4.696608736788885,14.653610992872894,309.46336411495554
reference,greedy,Naive (greedy),0.6,0.3,2,200,32,39.76209600443951,0.33843918536499057,-4.665381709270964e-16,-1.5,1.4999999999999996,12.816239409663861,3.7868662861370983,21.83659484353419,318.4837195488259
reference,greedy,Naive (greedy),0.6,0.3,2,200,33,27.95632461455731,0.7234590935954734,-4.665381709270964e-16,-1.5,1.4999999999999996,19.262149777055672,2.662507106148318,32.80040333707521,332.02197310884543
reference,greedy,Naive (greedy),0.6,0.3,2,200,34,18.318218857130642,1.6529904764930434,-4.665381709270964e-16,-1.5,1.4999999999999996,28.837944111573556,1.7445922721076819,49.09352123631619,352.27755023358804
reference,greedy,Naive (greedy),0.6,0.3,2,200,35,25.51740631576945,0.798480652865096,-4.665381709270964e-16,-1.5,1.4999999999999996,19.404909766132867,2.4302291729304253,33.03005937343255,365.90269984088775
reference,greedy,Naive (greedy),0.6,0.3,2,200,36,10.59181469820776,4.595324108673918,1.4069705733350147e-16,-1.5,1.5000000000000002,46.35506803550559,1.0087442569721683,78.8905097881416,398.43814159352377
reference,greedy,Naive (greedy),0.6,0.3,2,200,37,21.68199620473058,0.992768882945504,1.4069705733350147e-16,-1.5,1.5000000000000002,20.500201097332415,2.0649520194981523,34.886736627809626,412.82467712400097
reference,greedy,Naive (greedy),0.6,0.3,2,200,38,16.71952090416209,1.6684008094012666,1.4069705733350147e-16,-1.5,1.5000000000000002,26.566535437433735,1.5923353242059146,45.205660433863905,431.4638021204311
reference,greedy,Naive (greedy),0.6,0.3,2,200,39,14.279727793130178,2.2064212791585778,1.4069705733350147e-16,-1.5,1.5000000000000002,30.00675739367103,1.3599740755362086,51.05652023744174,452.5135649642018
reference,greedy,Naive (greedy),0.6,0.3,2,200,40,13.061658393609997,2.5179193248703604,-3.9737248750870063e-16,-1.5,1.4999999999999996,31.322097222976915,1.2439674660580962,53.29234475608663,474.48381249731153
