category,family,arm,seed,lambda_value,lambda_anchor,first_stage_r2,direction,true_elasticity,final_estimated_elasticity,final_abs_bias,final_regret,regret_pct_of_oracle
TPA,causal,twosls,0,0.0,0.0,0.23,promo,-2.13,-0.4816,1.6484,2401.21,53.62
TPA,baseline,greedy,0,0.4,0.0,0.23,promo,-2.13,-0.9591,1.1709,3763.5,84.03
TPA,exploration,controlled_variance,0,0.4,0.0,0.23,promo,-2.13,-1.8922,0.2378,2407.36,53.75
TPA,causal,twosls,0,0.4,0.0,0.23,promo,-2.13,-2.0,0.13,502.55,11.22
TPA,baseline,greedy,0,0.8,0.0,0.23,promo,-2.13,-1.9225,0.2075,2847.47,63.58
TPA,exploration,controlled_variance,0,0.8,0.0,0.23,promo,-2.13,-1.8679,0.2621,3495.86,78.06
TPA,causal,twosls,0,0.8,0.0,0.23,promo,-2.13,-2.0,0.13,1525.4,34.06
TTI,baseline,greedy,0,0.0,0.0,0.27,promo,-2.84,-0.4036,2.4364,3222.63,91.96
TTI,exploration,controlled_variance,0,0.0,0.0,0.27,promo,-2.84,-2.7368,0.1032,1815.96,51.82
TTI,causal,twosls,0,0.0,0.0,0.27,promo,-2.84,0.1707,3.0107,2670.28,76.2
TTI,baseline,greedy,0,0.4,0.0,0.27,promo,-2.84,-2.629,0.211,2017.06,57.56
TTI,exploration,controlled_variance,0,0.4,0.0,0.27,promo,-2.84,-2.5839,0.2561,2927.03,83.53
TTI,causal,twosls,0,0.4,0.0,0.27,promo,-2.84,-2.0,0.84,1315.92,37.55
TTI,baseline,greedy,0,0.8,0.0,0.27,promo,-2.84,-2.6161,0.2239,3921.74,111.91
TTI,exploration,controlled_variance,0,0.8,0.0,0.27,promo,-2.84,-2.5932,0.2468,7904.95,225.58
TTI,causal,twosls,0,0.8,0.0,0.27,promo,-2.84,-2.0,0.84,3115.18,88.9
