category,family,arm,seed,lambda_value,lambda_anchor,first_stage_r2,direction,true_elasticity,final_estimated_elasticity,final_abs_bias,final_regret,regret_pct_of_oracle
SOA,causal,twosls,0,0.3,0.015,0.14,loop,-2.42,-2.0,0.42,594.77,12.5
SOA,baseline,greedy,0,0.4,0.015,0.14,loop,-2.42,-2.4036,0.0164,2723.27,57.23
SOA,exploration,controlled_variance,0,0.4,0.015,0.14,loop,-2.42,-2.2781,0.1419,2737.58,57.53
SOA,causal,twosls,0,0.4,0.015,0.14,loop,-2.42,-2.0,0.42,784.32,16.48
SOA,baseline,greedy,0,0.6,0.015,0.14,loop,-2.42,-2.3029,0.1171,2483.91,52.2
SOA,exploration,controlled_variance,0,0.6,0.015,0.14,loop,-2.42,-2.2998,0.1202,3767.61,79.17
SOA,causal,twosls,0,0.6,0.015,0.14,loop,-2.42,-2.0,0.42,1270.48,26.7
SOA,baseline,greedy,0,0.8,0.015,0.14,loop,-2.42,-2.2371,0.1829,2912.27,61.2
SOA,exploration,controlled_variance,0,0.8,0.015,0.14,loop,-2.42,-2.2969,0.1231,5630.13,118.32
SOA,causal,twosls,0,0.8,0.015,0.14,loop,-2.42,-2.0,0.42,1995.96,41.94
LND,baseline,greedy,0,0.0,0.015,0.2,loop,-3.41,-0.5185,2.8915,3151.37,95.42
LND,exploration,controlled_variance,0,0.0,0.015,0.2,loop,-3.41,-3.433,0.023,1665.15,50.42
LND,causal,twosls,0,0.0,0.015,0.2,loop,-3.41,-3.9858,0.5758,618.6,18.73
LND,baseline,greedy,0,0.1,0.015,0.2,loop,-3.41,-0.7963,2.6137,3163.28,95.78
LND,exploration,controlled_variance,0,0.1,0.015,0.2,loop,-3.41,-3.4435,0.0335,2026.63,61.36
LND,causal,twosls,0,0.1,0.015,0.2,loop,-3.41,-2.0,1.41,1048.4,31.74
LND,baseline,greedy,0,0.2,0.015,0.2,loop,-3.41,-3.4573,0.0473,1937.17,58.65
LND,exploration,controlled_variance,0,0.2,0.015,0.2,loop,-3.41,-3.3797,0.0303,2560.89,77.54
LND,causal,twosls,0,0.2,0.015,0.2,loop,-3.41,-2.0,1.41,1215.82,36.81
LND,baseline,greedy,0,0.3,0.015,0.2,loop,-3.41,-3.4529,0.0429,1566.78,47.44
LND,exploration,controlled_variance,0,0.3,0.015,0.2,loop,-3.41,-3.3778,0.0322,3407.6,103.18
LND,causal,twosls,0,0.3,0.015,0.2,loop,-3.41,-2.0,1.41,1387.37,42.01
LND,baseline,greedy,0,0.4,0.015,0.2,loop,-3.41,-3.4387,0.0287,1761.76,53.34
LND,exploration,controlled_variance,0,0.4,0.015,0.2,loop,-3.41,-3.3357,0.0743,4750.61,143.84
LND,causal,twosls,0,0.4,0.015,0.2,loop,-3.41,-2.0,1.41,1582.0,47.9
LND,baseline,greedy,0,0.6,0.015,0.2,loop,-3.41,-3.3843,0.0257,2878.33,87.15
